COLUMNS;DELAY_INCREMENTAL_INI;FILTER_COLUMN;PARTITION_COLUMN;FILTER_DATA_TYPE;FILTER_EXP;ID_COLUMN;JOIN_EXPR;PROCESS_ID;SOURCE_SCHEMA;SOURCE_TABLE;SOURCE_TABLE_TYPE;STAGE_TABLE_NAME
compania, canal,replace(replace(descripcion, char(13),''), char(10),'') descripcion, centrocost, estado, tipoprecio, canal_corp;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(canal));;10;dbo;mcandist;m;m_canal_local
dbo.func_cas_todatetime(fecultmod,horultmod) lastmodifydate, categoria, descrip, estado, uniglobal, feccrea, horcrea, usucrea, fecultmod, horultmod, usuultmod,case when flgcanasta = 0x46 then 'F' when flgcanasta = 0x54 then 'T' end flgcanasta, compania;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(categoria));;30;dbo;mcatcom;m;m_categoria_compra
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, tipodoc,replace(replace(descrip, char(13),''), char(10),'') descrip, tipo, flgtipfact,case when flgctrlcaja = 0x46 then 'F' when flgctrlcaja = 0x54 then 'T' end flgctrlcaja,case when flgcorxcja = 0x46 then 'F' when flgcorxcja = 0x54 then 'T' end flgcorxcja,case when flgimport = 0x46 then 'F' when flgimport = 0x54 then 'T' end flgimport, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod,case when flgpresupuesto = 0x46 then 'F' when flgpresupuesto = 0x54 then 'T' end flgpresupuesto;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(tipodoc));;10;dbo;mdocum4f;m;m_tipo_documento
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,cast(cast(articulo as bigint) as varchar(20)) articulo, codenlace, linea, familia, subfamilia, flglinea,replace(replace(descrip1, char(13),''), char(10),'') descrip1,replace(replace(descrip2, char(13),''), char(10),'') descrip2,replace(replace(descrip3, char(13),''), char(10),'') descrip3,replace(replace(descrip4, char(13),''), char(10),'') descrip4,replace(replace(descrip5, char(13),''), char(10),'') descrip5, unipeso, qpeso, univolumen, qtotal, unicompra, qminimacom, unidcosto, unimanejo, unidadcont, qcontenido, cajaxpalet, lugentrega, vtoregsani, fecapertur, fecultcomp, monultcomp, preultcomp, linfabric, tipartcome,cast(cast(tipartprod as int) as varchar(20)) tipartprod, articalif1, articalif2, articalif3, articalif4, articalif5, articalif6, articalif7, articalif8, articalif9, articalif10, flgtipenva, artenvase, grupoarti, flgtipcomp, orden1, orden2, stockmin, stockmax, qrepos, tamlote,replace(replace(diastkmin, char(13),''), char(10),'') diastkmin,replace(replace(diavidutil, char(13),''), char(10),'') diavidutil,replace(replace(diareposic, char(13),''), char(10),'') diareposic, procedenc, flgabastec, porcadicio,case when flgmanelot = 0x46 then 'F' when flgmanelot = 0x54 then 'T' end flgmanelot,case when flgnecepro = 0x46 then 'F' when flgnecepro = 0x54 then 'T' end flgnecepro,case when flglotemin = 0x46 then 'F' when flglotemin = 0x54 then 'T' end flglotemin,case when flgprodfis = 0x46 then 'F' when flgprodfis = 0x54 then 'T' end flgprodfis,case when flgsubuni = 0x46 then 'F' when flgsubuni = 0x54 then 'T' end flgsubuni, rendimient,case when flgstsprev = 0x46 then 'F' when flgstsprev = 0x54 then 'T' end flgstsprev, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, codfabr, almdfcuar, almdfdispo, almdfrech, granel, stkcompr, stkdispo,replace(replace(desctecnic, char(13),''), char(10),'') desctecnic, tipartic, almcuaren, maenvas, cajaenv, articalif11, paqxcaj, conceptogasto, cbarras, ubica, arteqnac,case when manstkcomp = 0x46 then 'F' when manstkcomp = 0x54 then 'T' end manstkcomp,case when compsuger = 0x46 then 'F' when compsuger = 0x54 then 'T' end compsuger, genreqcomp, cantcaj, nrocamas, cattributa, precioval, regsanit, tipalmop,case when flgvaloriza = 0x46 then 'F' when flgvaloriza = 0x54 then 'T' end flgvaloriza,case when novaloriza = 0x46 then 'F' when novaloriza = 0x54 then 'T' end novaloriza, origmerser, tribicms, qtotalfor,cast(cast(articulo_corp as bigint) as varchar(20)) articulo_corp,replace(replace(descrip1_corp, char(13),''), char(10),'') descrip1_corp, qpesoneto,case when flgventa = 0x46 then 'F' when flgventa = 0x54 then 'T' end flgventa, flgprestamo, transactionid, artrelac, case when flgexplosion = 0x46 then 'F' when flgexplosion = 0x54 then 'T' end flgexplosion, case when flgskuplan = 0x46 then 'F' when flgskuplan = 0x54 then 'T' end flgskuplan, qalto, qlargo, undneg, qvolumen, articalif12;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + cast(cast(articulo as bigint) as varchar(100));;10;dbo;martic1f;m;m_articulo
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, linea, familia, subfamilia,replace(replace(descrip, char(13),''), char(10),'') descrip,replace(replace(descripcor, char(13),''), char(10),'') descripcor, compraloc, compraimpo, variaexist, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, subcategoria;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(linea)) + '|' + rtrim(ltrim(familia)) + '|' + rtrim(ltrim(subfamilia));;10;dbo;msubfa1f;m;m_subfamilia
dbo.func_cas_todatetime(t2.ultfecmod,t2.ulthormod) lastmodifydate,t2.compania compania,rtrim(ltrim(t2.sucursal)) sucursal,t2.nroop nroop,cast(cast(t2.material as bigint) as varchar(100)) material,t.fecgiro fecgiro,t2.nrosec nrosec,t2.qteoric qteoric,t2.qentreg qentreg,t2.feccrea feccrea,t2.horcrea horcrea,t2.usucrea usucrea,t2.ultfecmod ultfecmod,t2.ulthormod ulthormod,t2.ultusumod ultusumod,t2.factconv factconv,t2.qteofab qteofab,t2.preciostd preciostd,t2.factor_oper factor_oper;-3;t.fecgiro between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(t2.compania)) + '|' + ltrim(rtrim(t2.sucursal)) + '|' + ltrim(rtrim(t2.nroop)) + '|' + cast(t2.nrosec as varchar(100)) + '|' + cast(cast(t2.material as bigint) as varchar(100));inner join dbo.orprca(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.nroop = t2.nroop;40;dbo;orprma t2;t;t_orden_produccion_material
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,rtrim(ltrim(docuoperac)) docuoperac,rtrim(ltrim(procedim)) procedim,rtrim(ltrim(operacion)) operacion,replace(replace(descoper1, char(13),''), char(10),'') descoper1,replace(replace(descoper2, char(13),''), char(10),'') descoper2, stsoperaci, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod, cfop, flgcalctotal, flgcalcimp, tipoper, flgcontab, nota, flgsumres, codequiv, flgdigprec, flgcaldsct;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(docuoperac)) + '|' + rtrim(ltrim(procedim)) + '|' + rtrim(ltrim(operacion));;10;dbo;bopera1f;m;m_operacion
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, rtrim(ltrim(compania)) compania, rtrim(ltrim(sucursal)) sucursal, rtrim(ltrim(nropla)) nropla, fecini, turno, linea, cjshh,feccrea, horcrea, usucrea, ultfecmod, ulthormod, ultusumod, familia, estado, moxlinea, nroemb, porutli, totbot, totcjs, totefme, totjrlab, tottp, tparajlin, tparlin, ttbruto, ttideal;-3;feccrea between {0} and {1};;aje_date;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + ltrim(rtrim(nropla));;40;dbo;cabtpro;t;t_tiempo_produccion_vs_parada_cabecera
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,cast(cast(cliente as int) as varchar(20)) cliente,cast(cast(modulo as int) as varchar(20)) modulo,cast(cast(ordvisita as int) as varchar(20)) ordvisita, tipmodulo, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,rtrim(ltrim(sucursal)) sucursal,case when imppaqte = 0x46 then 'F' when imppaqte = 0x54 then 'T' end imppaqte,cast(coordx as varchar(20)) coordx,cast(coordy as varchar(20)) coordy, flgvtajef,cast(cast(codfvtas as int) as varchar(20)) codfvtas;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + cast(codfvtas as varchar(20)) + '|' + cast(modulo as varchar(20)) + '|' + cast(cast(cliente as bigint) as varchar(100));;10;dbo;mclien4f;m;m_asignacion_modulo
dbo.func_cas_todatetime(t2.fecultmod,t2.horultimod) lastmodifydate, t2.compania compania, t2.sucursal sucursal, t2.transaccio transaccio, rtrim(ltrim(t2.nrodoc)) nrodoc, t2.tipodeta tipodeta, cast(cast(t2.articulo as bigint) as varchar(100)) articulo, t2.secuencia secuencia, t2.centrocost centrocost, t2.unicompra unicompra, t2.qcompra qcompra, t2.preciocomp preciocomp, t2.qatendida qatendida, t2.qfacturada qfacturada, t2.total total, t2.usucrea usucrea, t2.feccrea feccrea, t2.horcrea horcrea, t2.ultusumod ultusumod, t2.fecultmod fecultmod, t2.horultimod horultimod, t2.qcancela qcancela, case when t2.flgatendid = 0x46 then 'F' when t2.flgatendid = 0x54 then 'T' end flgatendid, t2.impuesto4 impuesto4, t2.pstdlocal pstdlocal, t2.pstdglobal pstdglobal, t.fecha, t2.qproveedor qproveedor, t2.fecentrega fecentrega, t2.uniprovee uniprovee;-36;t.fecha between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(t2.compania)) + '|' + rtrim(ltrim(t2.sucursal)) + '|' + rtrim(ltrim(t2.transaccio)) + '|' + rtrim(ltrim(t2.nrodoc)) + '|' + rtrim(ltrim(t2.tipodeta)) + '|' + cast(cast(t2.articulo as bigint) as varchar(100)) + '|' + rtrim(ltrim(t2.secuencia));inner join dbo.tordco1f(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.transaccio = t2.transaccio and t.nrodoc = t2.nrodoc;30;dbo;tordco2f t2;t;t_orden_compra_detalle
compania, codigo, replace(replace(descripcion, char(13),''), char(10),'') descripcion, estado;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(codigo));;10;dbo;mmodaten;m;m_modelo_atencion
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, transprinc, transaccio, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(transprinc)) + '|' + rtrim(ltrim(transaccio));;10;dbo;mdocum8f;m;m_tipo_transaccion
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, vehiculo, tipvehicu, marca, capmaxkgsv, flgcartec, stsvehicul,cast(cast(transport as int) as varchar(20)) transport, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(vehiculo));;10;dbo;mvehic1f;m;m_vehiculo
dbo.func_cas_todatetime(t2.fecultimod,t2.horultimod) lastmodifydate,t2.compania compania,rtrim(ltrim(t2.sucursal)) sucursal,rtrim(ltrim(t2.emisor)) emisor,rtrim(ltrim(t2.docupedido)) docupedido,cast(cast(t2.nropedido as bigint) as varchar(100)) nropedido,cast(cast(t2.articulo as bigint) as varchar(100)) articulo,cast(cast(t2.cliente as bigint) as varchar(100)) cliente,t2.procpedido procpedido,t.fecpedido fecpedido,t2.fechaprog fechaprog,t2.compaten compaten,t2.sucuaten sucuaten,t2.emisaten emisaten,rtrim(ltrim(t2.docucomalm)) docucomalm,t2.nrocomalm nrocomalm,t2.fechadoc fechadoc,t2.qcajpedid qcajpedid,t2.qbotpedid qbotpedid,t2.qcajaten qcajaten,t2.qbotaten qbotaten,t2.qcajsaldo qcajsaldo,t2.qbotsaldo qbotsaldo,t2.feccreacio feccreacio,t2.horcreacio horcreacio,t2.usuacreac usuacreac,t2.fecultimod fecultimod,t2.horultimod horultimod,t2.usuaulmod usuaulmod,t2.estado estado,t2.stspedido stspedido,t2.importe importe,t2.fechaentrega fechaentrega,t2.fechaaten fechaaten,cast(null as varchar(4)) idcita,cast(null as varchar(4)) fechacita,cast(null as varchar(4)) horacita,cast(null as varchar(4)) flgfacorig,cast(null as varchar(4)) proccomalm;-2;fechadoc between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(t2.compania)) + '|' + ltrim(rtrim(t2.sucursal)) + '|' + ltrim(rtrim(t2.emisor)) + '|' + ltrim(rtrim(t2.docupedido)) + '|' + cast(cast(t2.nropedido as bigint) as varchar(100)) + '|' + cast(cast(t2.articulo as bigint) as varchar(100)) + '|' + cast(cast(t2.cliente as bigint) as varchar(100)) + '|' + ltrim(rtrim(t2.procpedido)) + '|' + cast(t2.fechaprog as varchar(100)) + '|' + ltrim(rtrim(t2.compaten)) + '|' + ltrim(rtrim(t2.sucuaten)) + '|' + ltrim(rtrim(t2.emisaten)) + '|' + ltrim(rtrim(t2.docucomalm)) + '|' + ltrim(rtrim(t2.nrocomalm)) + '|' + cast(t2.fechadoc as varchar(100)) + '|' + cast(t2.fechaentrega as varchar(100));inner join dbo.tpedid1f(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.emisor = t2.emisor and t.docupedido = t2.docupedido and t.nropedido = t2.nropedido;10;dbo;tpedid8f t2;t;t_documento_pedido_ades_despacho
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal, ejercicio, periodoctb,cast(cast(articulo as bigint) as varchar(100)) articulo, linea, saliniuni, salinival, inguni, ingval, saluni, salval, salfinuni, salfinval, cmp, cstd, feccrea, horcrea, usucrea, ultfecmod, ulthormod, ultusumod, cpmbot, costomescj, totvtsbot, totvtscjs, trasmpund, trasmpval, trasptund, trasptval, ajunidad, ajvalor;-2;convert(int,convert(varchar(4),ejercicio) + right('00' + convert(varchar(2),periodoctb),2)) between {0} and {1};;aje_period;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + cast(ejercicio as varchar(100))  + '|' + cast(periodoctb as varchar(100)) + '|' + cast(cast(articulo as bigint) as varchar(100));;10,20;dbo;cieartcpm;t;t_cierre_inventario_cpm
dbo.func_cas_todatetime(fecultmod,horultmod) lastmodifydate, compania, cast(cast(articulo as bigint) as varchar(100)) articulo, categoria, subcat1, subcat2, estado, feccrea, horcrea, usucrea, fecultmod, horultmod, usuultmod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + cast(cast(articulo as bigint) as varchar(100)) + '|' + rtrim(ltrim(categoria)) + '|' + rtrim(ltrim(subcat1)) + '|' + rtrim(ltrim(subcat2));;30;dbo;tartcom;m;m_articulo_categoria_compra
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate,rtrim(ltrim(pais)) pais, departamen, provincia,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod;;;;;pais in (select pais from dbo.mcompa1f where flgbi = 'a');rtrim(ltrim(pais)) + '|' + rtrim(ltrim(departamen)) + '|' + rtrim(ltrim(provincia));;10;dbo;bubige3f;m;m_ng2
dbo.func_cas_todatetime(t2.fecultimod,t2.horultimod) lastmodifydate,t2.compania compania,rtrim(ltrim(t2.sucursal)) sucursal,rtrim(ltrim(t2.emisor)) emisor,rtrim(ltrim(t2.docupedido)) docupedido,cast(cast(t2.nropedido as bigint) as varchar(100)) nropedido,cast(cast(t2.articulo as bigint) as varchar(100)) articulo,cast(cast(t2.cliente as bigint) as varchar(100)) cliente,t.fecpedido fecpedido,t2.procpedido procpedido,t2.fechaentrega fechaentrega,t2.qcajpedid qcajpedid,t2.qbotpedid qbotpedid,t2.qcajcron qcajcron,t2.qbotcron qbotcron,t2.estado estado,t2.feccreacio feccreacio,t2.horcreacio horcreacio,t2.usuacreac usuacreac,t2.fecultimod fecultimod,t2.horultimod horultimod,t2.usuaulmod usuaulmod;-2;t.fecpedido between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(t2.compania)) + '|' + ltrim(rtrim(t2.sucursal)) + '|' + ltrim(rtrim(t2.emisor)) + '|' + ltrim(rtrim(t2.docupedido)) + '|' + cast(cast(t2.nropedido as bigint) as varchar(100)) + '|' + cast(t2.fechaentrega as varchar(100)) + '|' + cast(cast(t2.cliente as bigint) as varchar(100)) + '|' + cast(cast(t2.articulo as bigint) as varchar(100)) + '|' + ltrim(rtrim(t2.procpedido));inner join dbo.tpedid1f(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.emisor = t2.emisor and t.docupedido = t2.docupedido and t.nropedido = t2.nropedido;10;dbo;tpedid12f t2;t;t_documento_pedido_ades_programacion
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal, nroop, familiaeq, lineaeq, turno, correlat,cast(cast(articulo as bigint) as varchar(100)) articulo,cast(cast(lote as bigint) as varchar(100)) lote, almorig, linfab, qteorica, qgirada, qgircjs, qfabricad, fecgiro, fecini, fecfin, hiniteo, hfinteo, hinireal, hfinreal, fecliq, observ, estado, case when flagtrans = 0x46 then 'F' when flagtrans = 0x54 then 'T' end flagtrans, case when protana = 0x46 then 'F' when protana = 0x54 then 'T' end protana, respons, feccrea, horcrea, usucrea, ultfecmod, ulthormod, ultusumod, entra, qfabcjs, bpm, anpnconf, periodo, motivo, feciniprog, fecfinprog, thorstd, thorreal, qenergiastd, qenergiareal, flgcieaut, id_avail, qavail, qconvbotella, totbot500, flgopavail;-3;fecgiro between {0} and {1};;aje_date;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + ltrim(rtrim(nroop));;40;dbo;orprca;t;t_orden_produccion_cabecera
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, compania,sucursal,almacenori,docucomalm,nrocomalm,sucdestin,almdestin,cliedestin,case when pagodestin = 0x46 then 'F' when pagodestin = 0x54 then 'T' end pagodestin,feccarga,nrobulto,totpeso,compago,sucpago,docpago,serpago,nropago,totflete,perpago,case when confirmado = 0x46 then 'F' when confirmado = 0x54 then 'T' end confirmado,confirmpor,fecconfirm,docflete,nroflete,area,gerencia,case when flgpago = 0x46 then 'F' when flgpago = 0x54 then 'T' end flgpago,fecpago,comprobant,feccontab,case when flgcontab = 0x46 then 'F' when flgcontab = 0x54 then 'T' end flgcontab,case when flgcontaext = 0x46 then 'F' when flgcontaext = 0x54 then 'T' end flgcontaext,centrocost,moneda,case when flgimpuest = 0x46 then 'F' when flgimpuest = 0x54 then 'T' end flgimpuest,feccrea,horcrea,usucrea,ultfecmod,ulthormod,ultusumod;-2;feccrea between {0} and {1};;aje_date;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + ltrim(rtrim(almacenori)) + '|' + ltrim(rtrim(docucomalm)) + '|' + ltrim(rtrim(nrocomalm));;70;dbo;tcoalm17f;t;t_documento_flete
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, tiptranspo, descttran1, ststitran, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(tiptranspo));;10;dbo;btitra1f;m;m_tipo_transportista
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate,rtrim(ltrim(pais)) pais, departamen,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod,replace(replace(descorta, char(13),''), char(10),'') descorta, flgcetico;;;;;pais in (select pais from dbo.mcompa1f where flgbi = 'a');rtrim(ltrim(pais)) + '|' + rtrim(ltrim(departamen));;10;dbo;bubige2f;m;m_ng1
dbo.func_cas_todatetime(t2.fechemi,t2.horemi) lastmodifydate,t2.compania compania,rtrim(ltrim(t2.sucursal)) sucursal,rtrim(ltrim(t2.emisor)) emisor,rtrim(ltrim(t2.docucomalm)) docucomalm,t2.nrocomalm nrocomalm,t2.sucdest sucdest,t2.emidest emidest,t2.proccomalm proccomalm,t.feccomalms feccomalms,t2.fechemi fechemi,t2.horemi horemi,t2.usuemi usuemi,t2.fechrec fechrec,t2.horrec horrec,t2.usurec usurec,t2.fechliq fechliq,t2.horliq horliq,t2.usuliq usuliq,t2.estado estado,t2.fechanu fechanu,t2.horanu horanu,t2.usuanu usuanu,t2.ciadest ciadest,t2.flgconfirmado flgconfirmado,t2.feclleg feclleg,t2.horlleg horlleg,t2.usulleg usulleg;-4;t.feccomalms between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(t2.compania)) + '|' + ltrim(rtrim(t2.sucursal)) + '|' + ltrim(rtrim(t2.emisor)) + '|' + ltrim(rtrim(t2.docucomalm)) + '|' + ltrim(rtrim(t2.nrocomalm));inner join dbo.tcoalm1f(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.almacenori = t2.emisor and t.docucomalm = t2.docucomalm and t.nrocomalm = t2.nrocomalm;10,20,70;dbo;tcoalm0f t2;t;t_movimiento_inventario_transito
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, ciaordcomp,sucordcomp,transocomp,docordcomp,tipordcomp,cast(cast(articulo as bigint) as varchar(20)) articulo,secordcomp,compania_cotiz_requi,succotreq,transcotre,nrodoccoti,provcotreq,seccotreq,precotiz,qcotiza,unidcotiz,qrequis,unireq,tipoactua,case when flganulado = 0x46 then 'F' when flganulado = 0x54 then 'T' end flganulado,usucrea,feccrea,horcrea,ultusumod,fecultmod,horultimod,estado;-36;feccrea between {0} and {1};;aje_date;ciaordcomp in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(ciaordcomp)) + '|' + ltrim(rtrim(sucordcomp)) + '|' + ltrim(rtrim(transocomp)) + '|' + ltrim(rtrim(docordcomp)) + '|' + ltrim(rtrim(tipordcomp)) + '|' + cast(cast(articulo as bigint) as varchar(20)) + '|' + ltrim(rtrim(secordcomp)) + '|' + ltrim(rtrim(compania_cotiz_requi)) + '|' + ltrim(rtrim(succotreq)) + '|' + ltrim(rtrim(transcotre)) + '|' + ltrim(rtrim(nrodoccoti)) + '|' + ltrim(rtrim(provcotreq)) + '|' + ltrim(rtrim(seccotreq));;30;dbo;tordco3f;t;t_cotizacion_compra
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, unidadesde, unidadhast, operador, cantidad, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(unidadesde)) + '|' + rtrim(ltrim(unidadhast));;30;dbo;bunidad2f;m;m_unidad_medida_equivalente
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, transport, tiptranspo, sucursal, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(transport));;10;dbo;mperso8f;m;m_transportista
dbo.func_cas_todatetime(fecultmod,horcrea) lastmodifydate,rtrim(ltrim(compania)) compania,rtrim(ltrim(undneg)) undneg,descrip,estado,usucrea,feccrea,horcrea,ultusumod,fecultmod,horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(undneg));;30;dbo;mundneg1f;m;m_unidad_negocio
dbo.func_cas_todatetime(fecultmod,horultmod) lastmodifydate, categoria, subcat1, subcat2, descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultmod, usuultmod, compania;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(categoria)) + '|' + rtrim(ltrim(subcat1)) + '|' + rtrim(ltrim(subcat2));;30;dbo;msubc2com;m;m_sub_categoria2_compra
